Элемент;Кол-во конкурентов (из 10);Процент;Важность (1-10);Сложность;Рекомендация;Комментарий
Логотип/бренд в шапке;6;60%;6;2;Рекомендовано;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Телефон/контакты на странице;6;60%;9;2;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Адрес/география присутствия;7;70%;6;2;Рекомендовано;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Страница/блок цен;7;70%;9;3;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Калькулятор/квиз;7;70%;8;5;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Гарантия/договор;7;70%;9;5;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Кейсы/портфолио/работы;7;70%;9;5;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Отзывы/соцдоказательства;5;50%;9;5;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
FAQ/вопрос-ответ;7;70%;9;3;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Мессенджеры (WA/TG);5;50%;8;3;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Проектирование/инженерия;7;70%;8;5;Обязательно;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
Блог/новости/статьи;2;20%;6;5;Рекомендовано;Счёт по топ-10 direct конкурентам (firecrawl scrape главных/целевых страниц).
