URL;Page Type;Title;Meta Description;H1;Термины/сущности;Internal links;Schema type
/services/stroitelstvo-domov-pod-klyuch-mahachkala/;service_landing;Строительство домов под ключ в Махачкале | Проект и смета;Строительство домов под ключ в Махачкале и Дагестане: проект, смета, сроки, договор и гарантия.;Строительство домов под ключ в Махачкале;строительство, смета, гарантия, сроки, проект;/tseny/, /raboty/, /otzyvy/, /faq/;Service,WebPage,BreadcrumbList,FAQPage
/services/proektirovanie-domov-mahachkala/;service_landing;Проектирование домов в Махачкале | Индивидуальный проект;Проектирование домов в Махачкале: архитектура, конструктив, инженерные разделы, сроки и стоимость работ.;Проектирование домов в Махачкале;проектирование, архитектура, конструктив, ТЗ;/services/proekt-inzhenernyh-setey-mahachkala/, /faq/;Service,WebPage,BreadcrumbList,FAQPage
/services/proekt-inzhenernyh-setey-mahachkala/;service_landing;Проект инженерных сетей в Махачкале | Частный дом;Проект инженерных сетей для частного дома: электрика, водоснабжение, канализация, вентиляция.;Проект инженерных сетей в Махачкале;инженерные сети, электрика, водоснабжение, канализация;/guides/inzheneriya/, /faq/;Service,WebPage,BreadcrumbList,FAQPage
/services/otdelochnye-raboty-mahachkala/;service_landing;Отделочные работы в Махачкале | Цена и сроки;Отделочные работы в Махачкале: черновая и чистовая отделка, цены, этапы, примеры работ и отзывы.;Отделочные работы в Махачкале;отделка, ремонт, смета, материалы;/tseny/otdelochnye-raboty-mahachkala/, /otzyvy/;Service,WebPage,BreadcrumbList,FAQPage
/tseny/;prices;Цены на услуги в Махачкале | Строительство, проектирование, отделка;Цены на строительство, проектирование, инженерные сети и отделочные работы в Махачкале и Дагестане.;Цены на услуги в Махачкале;цены, стоимость, смета, расчет;/services/, /faq/;WebPage,BreadcrumbList,FAQPage
/faq/;faq_hub;FAQ по строительству и проектированию в Махачкале;Ответы на частые вопросы: цены, сроки, гарантии, состав проекта и этапы работ.;Вопросы и ответы;FAQ, цены, сроки, гарантии;/services/, /tseny/;FAQPage,BreadcrumbList
/guides/stroitelstvo/oshibki-pri-vybore-podryadchika/;guide_pillar;Как выбрать подрядчика на строительство дома в Махачкале;Чек-лист выбора подрядчика: договор, смета, кейсы, гарантии и контроль сроков.;Как выбрать подрядчика на строительство дома;подрядчик, договор, смета, риски;/services/stroitelstvo-domov-pod-klyuch-mahachkala/;Article,BreadcrumbList,FAQPage
/raboty/;cases_hub;Каталог работ и кейсов в Махачкале | КРЕПОСТЬ;Каталог реализованных проектов КРЕПОСТЬ: строительство, проектирование, инженерия и отделка в Махачкале и Дагестане.;Каталог реализованных работ;кейсы, портфолио, строительство, проектирование, инженерия, отделка;/services/, /tseny/, /otzyvy/, /kontakty/;CollectionPage,ItemList,BreadcrumbList,LocalBusiness
/raboty/dom-iz-gazobetona-180m-talgi/;case_detail;Дом из газобетона 180 м² в Талги | Кейс КРЕПОСТЬ;Кейс строительства дома из газобетона 180 м² в районе Талги: этапы, сроки, бюджет и результат.;Дом из газобетона 180 м² с мансардой;кейс, строительство, газобетон, махачкала;/raboty/, /services/stroitelstvo-domov-pod-klyuch-mahachkala/, /tseny/stroitelstvo-domov-v-dagestane/;Article,BreadcrumbList,LocalBusiness
/raboty/proekt-doma-150m-kaspiysk-inzheneriya/;case_detail;Проект дома 150 м² в Каспийске | Кейс КРЕПОСТЬ;Кейс проектирования дома 150 м² с инженерными разделами в Каспийске: состав проекта, этапы и результат.;Проект дома 150 м² с инженерными разделами;кейс, проектирование, инженерия, каспийск;/raboty/, /services/proektirovanie-domov-mahachkala/, /tseny/;Article,BreadcrumbList,LocalBusiness
/raboty/chernovaya-otdelka-doma-200m-mahachkala/;case_detail;Черновая отделка дома 200 м² в Махачкале | Кейс КРЕПОСТЬ;Кейс черновой отделки дома 200 м² в Махачкале: штукатурка, стяжка, электрика, сроки и результат.;Черновая отделка дома 200 м²;кейс, отделка, черновые работы, махачкала;/raboty/, /services/otdelochnye-raboty-mahachkala/, /tseny/otdelochnye-raboty-mahachkala/;Article,BreadcrumbList,LocalBusiness
/raboty/rekonstrukciya-doma-90m-aksay/;case_detail;Реконструкция дома 90 м² в Аксае | Кейс КРЕПОСТЬ;Кейс реконструкции дома 90 м² в Аксае: усиление фундамента, кровля, отделка и итоговый результат.;Реконструкция дома 90 м² в Аксае;кейс, реконструкция, отделка, аксай;/raboty/, /services/otdelochnye-raboty-mahachkala/, /tseny/otdelochnye-raboty-mahachkala/;Article,BreadcrumbList,LocalBusiness
/raboty/inzhenernye-seti-kottedzh-220m-izberbash/;case_detail;Инженерные сети коттеджа 220 м² в Избербаше | Кейс КРЕПОСТЬ;Кейс по инженерным сетям коттеджа 220 м² в Избербаше: электрика, вода, канализация, отопление.;Инженерные сети для коттеджа 220 м²;кейс, инженерные сети, избербаш, коттедж;/raboty/, /services/proekt-inzhenernyh-setey-mahachkala/, /tseny/;Article,BreadcrumbList,LocalBusiness
/raboty/kirpichnyy-dom-160m-mahachkala/;case_detail;Кирпичный дом 160 м² в Махачкале | Кейс КРЕПОСТЬ;Кейс строительства кирпичного дома 160 м² в Махачкале: этапы, сроки, бюджет и результат.;Кирпичный дом 160 м² в Махачкале;кейс, строительство, кирпичный дом, махачкала;/raboty/, /services/stroitelstvo-domov-pod-klyuch-mahachkala/, /tseny/stroitelstvo-domov-v-dagestane/;Article,BreadcrumbList,LocalBusiness
